Thresholds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,nan
3,100,100,100,76.9230769231,76.9230769231,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,61.5384615385,61.5384615385,61.5384615385,61.5384615385,61.5384615385,61.5384615385,61.5384615385,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,
4,100,100,85.7142857143,85.7142857143,78.5714285714,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,57.1428571429,57.1428571429,57.1428571429,50,50,50,50,
5,100,100,100,100,90.4761904762,85.7142857143,85.7142857143,85.7142857143,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,71.4285714286,71.4285714286,71.4285714286,71.4285714286,66.6666666667,57.1428571429,57.1428571429,57.1428571429,52.380952381,47.619047619,38.0952380952,33.3333333333,28.5714285714,28.5714285714,28.5714285714,28.5714285714,28.5714285714,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,
6,100,100,98.0392156863,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,94.1176470588,92.1568627451,92.1568627451,88.2352941176,88.2352941176,86.2745098039,84.3137254902,80.3921568627,78.431372549,78.431372549,78.431372549,78.431372549,78.431372549,74.5098039216,74.5098039216,74.5098039216,72.5490196078,62.7450980392,60.7843137255,58.8235294118,58.8235294118,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,
7,100,100,100,96.875,96.875,96.875,96.875,96.875,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,87.5,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,81.25,81.25,81.25,81.25,81.25,81.25,
8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,94.7368421053,94.7368421053,94.7368421053,94.7368421053,94.7368421053,92.9824561404,92.9824561404,92.9824561404,91.2280701754,91.2280701754,87.7192982456,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,
9,100,100,100,100,100,100,100,98.4375,98.4375,98.4375,98.4375,96.875,96.875,96.875,96.875,93.75,93.75,93.75,93.75,93.75,92.1875,92.1875,92.1875,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,89.0625,87.5,87.5,87.5,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,
10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.5714285714,98.5714285714,98.5714285714,98.5714285714,98.5714285714,97.1428571429,97.1428571429,95.7142857143,95.7142857143,92.8571428571,91.4285714286,88.5714285714,85.7142857143,81.4285714286,81.4285714286,81.4285714286,78.5714285714,75.7142857143,74.2857142857,74.2857142857,72.8571428571,71.4285714286,70,70,68.5714285714,67.1428571429,67.1428571429,65.7142857143,65.7142857143,62.8571428571,62.8571428571,60,58.5714285714,58.5714285714,58.5714285714,58.5714285714,
11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.247706422,96.3302752294,96.3302752294,96.3302752294,96.3302752294,95.4128440367,93.5779816514,93.5779816514,93.5779816514,93.5779816514,92.6605504587,92.6605504587,91.7431192661,91.7431192661,91.7431192661,91.7431192661,91.7431192661,91.7431192661,89.9082568807,88.9908256881,88.0733944954,86.2385321101,84.4036697248,83.4862385321,81.6513761468,80.7339449541,80.7339449541,80.7339449541,80.7339449541,80.7339449541,80.7339449541,79.8165137615,78.8990825688,
12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.5401459854,97.8102189781,97.8102189781,97.0802919708,97.0802919708,97.0802919708,97.0802919708,97.0802919708,97.0802919708,97.0802919708,96.3503649635,95.6204379562,94.8905109489,94.1605839416,94.1605839416,94.1605839416,94.1605839416,93.4306569343,92.700729927,92.700729927,92.700729927,91.9708029197,91.2408759124,89.7810218978,89.0510948905,87.5912408759,86.8613138686,86.8613138686,86.1313868613,85.401459854,85.401459854,83.9416058394,
13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.2125984252,98.4251968504,98.4251968504,97.6377952756,96.8503937008,96.062992126,96.062992126,96.062992126,96.062992126,96.062992126,96.062992126,96.062992126,95.2755905512,95.2755905512,95.2755905512,95.2755905512,94.4881889764,94.4881889764,92.125984252,90.5511811024,89.7637795276,88.188976378,86.6141732283,84.2519685039,83.4645669291,81.8897637795,81.1023622047,80.3149606299,80.3149606299,
14,100,100,100,100,100,100,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,98.0952380952,98.0952380952,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,93.3333333333,93.3333333333,91.4285714286,90.4761904762,87.619047619,85.7142857143,81.9047619048,80,76.1904761905,76.1904761905,76.1904761905,75.2380952381,
15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,98.0392156863,98.0392156863,98.0392156863,98.0392156863,96.0784313725,92.1568627451,90.1960784314,87.2549019608,84.3137254902,84.3137254902,81.3725490196,81.3725490196,78.431372549,74.5098039216,
16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.1803278689,99.1803278689,99.1803278689,99.1803278689,99.1803278689,99.1803278689,99.1803278689,98.3606557377,98.3606557377,98.3606557377,97.5409836066,97.5409836066,96.7213114754,95.9016393443,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,94.262295082,94.262295082,91.8032786885,91.8032786885,
17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.0990990991,99.0990990991,99.0990990991,99.0990990991,99.0990990991,98.1981981982,98.1981981982,98.1981981982,98.1981981982,98.1981981982,97.2972972973,96.3963963964,96.3963963964,96.3963963964,96.3963963964,96.3963963964,95.4954954955,94.5945945946,94.5945945946,93.6936936937,93.6936936937,93.6936936937,93.6936936937,92.7927927928,92.7927927928,92.7927927928,92.7927927928,92.7927927928,91.8918918919,91.8918918919,90.0900900901,
18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.1379310345,98.275862069,97.4137931034,97.4137931034,95.6896551724,94.8275862069,94.8275862069,93.1034482759,92.2413793103,92.2413793103,91.3793103448,90.5172413793,89.6551724138,89.6551724138,89.6551724138,88.7931034483,88.7931034483,88.7931034483,88.7931034483,88.7931034483,88.7931034483,88.7931034483,87.9310344828,87.0689655172,87.0689655172,87.0689655172,87.0689655172,86.2068965517,
19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.3006993007,98.6013986014,98.6013986014,98.6013986014,97.2027972028,96.5034965035,93.7062937063,92.3076923077,92.3076923077,88.8111888112,84.6153846154,82.5174825175,82.5174825175,82.5174825175,82.5174825175,81.8181818182,79.7202797203,79.020979021,79.020979021,79.020979021,79.020979021,79.020979021,78.3216783217,78.3216783217,76.9230769231,76.9230769231,76.2237762238,76.2237762238,75.5244755245,72.7272727273,72.027972028,72.027972028,
20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.3788819876,98.1366459627,95.652173913,92.5465838509,87.5776397516,86.3354037267,85.7142857143,84.4720496894,84.4720496894,84.4720496894,83.2298136646,81.9875776398,80.1242236025,79.5031055901,78.8819875776,76.397515528,73.2919254658,72.6708074534,72.6708074534,72.049689441,71.4285714286,71.4285714286,69.5652173913,69.5652173913,68.3229813665,67.701863354,67.0807453416,66.4596273292,65.8385093168,65.8385093168,65.2173913043,
21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.3506493506,99.3506493506,99.3506493506,98.7012987013,98.7012987013,98.0519480519,96.7532467532,95.4545454545,94.1558441558,93.5064935065,92.8571428571,92.2077922078,89.6103896104,88.3116883117,87.6623376623,85.7142857143,83.7662337662,83.1168831169,81.1688311688,80.5194805195,77.9220779221,77.9220779221,77.9220779221,77.2727272727,75.974025974,73.3766233766,72.0779220779,72.0779220779,71.4285714286,71.4285714286,69.4805194805,68.8311688312,68.8311688312,68.8311688312,
22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.4732824427,97.7099236641,97.7099236641,96.9465648855,96.9465648855,96.1832061069,96.1832061069,95.4198473282,94.6564885496,92.3664122137,91.6030534351,91.6030534351,85.4961832061,83.9694656489,80.9160305344,79.3893129771,77.0992366412,75.572519084,74.8091603053,74.8091603053,74.0458015267,72.5190839695,71.7557251908,71.7557251908,70.9923664122,69.465648855,69.465648855,68.7022900763,67.1755725191,67.1755725191,67.1755725191,67.1755725191,
23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.1304347826,97.3913043478,97.3913043478,97.3913043478,96.5217391304,95.652173913,94.7826086957,94.7826086957,94.7826086957,94.7826086957,93.9130434783,90.4347826087,87.8260869565,86.0869565217,83.4782608696,82.6086956522,81.7391304348,80.8695652174,77.3913043478,76.5217391304,74.7826086957,72.1739130435,72.1739130435,70.4347826087,69.5652173913,69.5652173913,68.6956521739,67.8260869565,67.8260869565,66.0869565217,66.0869565217,66.0869565217,65.2173913043,64.347826087,
24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.0654205607,98.1308411215,97.1962616822,97.1962616822,97.1962616822,96.261682243,95.3271028037,92.523364486,90.6542056075,89.7196261682,88.785046729,87.8504672897,84.1121495327,82.2429906542,81.308411215,78.5046728972,78.5046728972,74.7663551402,74.7663551402,71.9626168224,71.0280373832,70.0934579439,68.2242990654,67.2897196262,66.3551401869,65.4205607477,64.4859813084,63.5514018692,62.6168224299,
25,100,100,100,100,100,100,100,100,100,100,100,100,99.0566037736,99.0566037736,99.0566037736,99.0566037736,99.0566037736,99.0566037736,99.0566037736,99.0566037736,99.0566037736,99.0566037736,99.0566037736,98.1132075472,96.2264150943,95.2830188679,95.2830188679,95.2830188679,93.3962264151,90.5660377358,89.6226415094,87.7358490566,83.9622641509,83.0188679245,81.1320754717,79.2452830189,77.358490566,75.4716981132,75.4716981132,72.641509434,69.8113207547,68.8679245283,67.9245283019,67.9245283019,66.0377358491,61.320754717,60.3773584906,59.4339622642,58.4905660377,55.6603773585,
26,100,100,100,100,100,100,100,100,100,100,100,100,98.9583333333,98.9583333333,98.9583333333,98.9583333333,98.9583333333,98.9583333333,98.9583333333,98.9583333333,98.9583333333,98.9583333333,97.9166666667,94.7916666667,94.7916666667,93.75,88.5416666667,81.25,80.2083333333,79.1666666667,79.1666666667,79.1666666667,75,73.9583333333,72.9166666667,72.9166666667,71.875,70.8333333333,69.7916666667,69.7916666667,67.7083333333,66.6666666667,65.625,64.5833333333,62.5,60.4166666667,57.2916666667,57.2916666667,56.25,56.25,
27,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.7690531178,99.5381062356,99.5381062356,99.5381062356,99.0762124711,99.0762124711,98.6143187067,98.6143187067,97.6905311778,97.2286374134,96.766743649,95.6120092379,94.9191685912,94.9191685912,94.688221709,94.688221709,94.2263279446,94.2263279446,94.2263279446,94.2263279446,93.9953810624,93.9953810624,93.9953810624,93.9953810624,93.5334872979,92.8406466513,92.8406466513,92.8406466513,92.6096997691,92.3787528868,92.1478060046,90.9930715935,90.0692840647,89.6073903002,87.5288683603,
28,100,100,100,100,100,100,100,100,100,100,100,100,99.7797356828,99.7797356828,99.7797356828,99.7797356828,99.7797356828,99.5594713656,99.3392070485,99.3392070485,99.1189427313,99.1189427313,98.6784140969,98.6784140969,98.4581497797,98.2378854626,96.9162995595,96.2555066079,95.8149779736,95.5947136564,95.3744493392,95.3744493392,95.154185022,95.154185022,95.154185022,95.154185022,94.9339207048,94.7136563877,94.7136563877,94.4933920705,94.4933920705,93.6123348018,93.3920704846,92.731277533,92.0704845815,91.8502202643,91.6299559471,89.6475770925,88.7665198238,87.6651982379,
29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vertical column is speed difference in m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizontal column is the  corresponding doppler difference ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
